order_item_id,order_id,product_id,quantity,item_price
1,1,11,4,273.96
2,2,14,4,411.24
3,3,11,4,247.39
4,4,25,3,451.01
5,5,30,3,485.09
6,6,47,5,141.98
7,7,32,2,181.18
8,8,14,1,386.64
9,9,35,1,114.1
10,10,4,1,56.68
11,11,33,5,297.76
12,12,33,1,342.12
13,13,5,5,408.04
14,14,16,4,131.71
15,15,37,2,330.92
16,16,3,5,105.83
17,17,43,5,348.37
18,18,21,3,380.6
19,19,46,3,382.41
20,20,26,2,458.52
21,21,20,4,168.82
22,22,49,1,395.74
23,23,40,5,257.02
24,24,5,5,421.01
25,25,17,2,520.31
26,26,5,2,434.98
27,27,11,4,293.09
28,28,46,3,412.51
29,29,42,5,311.62
30,30,36,3,382.83
31,31,7,2,18.82
32,32,7,5,18.39
33,33,19,5,49.81
34,34,22,2,241.14
35,35,17,5,477.72
36,36,4,1,57.24
37,37,18,1,50.07
38,38,50,2,113.27
39,39,17,2,501.92
40,40,36,4,356.69
41,41,8,1,130.87
42,42,45,2,119.46
43,43,24,5,44.47
44,44,28,2,35.82
45,45,24,1,47.52
46,46,14,2,393.32
47,47,23,5,524.08
48,48,27,5,305.3
49,49,16,2,156.13
50,50,12,4,205.75
51,51,48,3,482.81
52,52,27,2,277.23
53,53,45,1,115.6
54,54,3,4,109.08
55,55,30,3,473.48
56,56,15,2,317.18
57,57,13,4,391.74
58,58,5,3,433.33
59,59,33,4,331.14
60,60,35,3,118.26
61,61,8,3,112.44
62,62,17,1,441.32
63,63,28,3,41.23
64,64,21,4,413.12
65,65,33,1,312.32
66,66,37,2,309.8
67,67,46,4,363.29
68,68,35,2,105.76
69,69,5,3,457.63
70,70,43,1,358.99
71,71,20,5,168.58
72,72,27,3,285.11
73,73,19,5,48.93
74,74,27,4,301.1
75,75,12,5,230.5
76,76,26,5,472.89
77,77,20,3,165.1
78,78,38,5,329.19
79,79,30,4,486.98
80,80,14,5,378.57
81,81,48,2,471.52
82,82,19,5,54.6
83,83,40,3,214.81
84,84,49,2,453.96
85,85,15,2,325.85
86,86,3,2,126.67
87,87,40,1,231.74
88,88,41,5,464.57
89,89,45,4,118.25
90,90,16,2,147.0
91,91,1,1,339.42
92,92,15,2,371.9
93,93,45,5,117.54
94,94,36,2,381.82
95,95,8,4,111.36
96,96,30,5,540.75
97,97,39,3,398.86
98,98,29,5,125.23
99,99,33,4,340.79
100,100,36,4,380.4
101,101,48,4,452.44
102,102,49,2,468.63
103,103,18,5,55.42
104,104,16,3,140.84
